,col_name,col_dtype,col_name_full,col_description,col_example
45,is_ym_leapyr,int64,is yearmonth leap year?,is the date in a February containing a Leap Year (Feb 29th)?,"(e.g., 1=Yes, 0=No)"
46,is_y_leapyr,int64,is year leap year?,is the date in a year containing a Leap Year (Feb 29th)?,"(e.g., 1=Yes, 0=No)"
47,first_dom_dt,datetime64[ns],first day of month date,first day of the yearmonth as a date,
48,first_dom_int,int32,first day of month int,first day of the yearmonth as an int (YYYYMMDD),
49,last_dom_dt,datetime64[ns],last day of month date,last day of the yearmonth as a date,
50,last_dom_int,int32,last day of month int,last day of the yearmonth as an int (YYYYMMDD),
51,first_doyq_dt,datetime64[ns],first day of yearquarter date,first day of the yearquarter as a date,
52,first_doyq_int,int32,first day of yearquarter int,first day of the yearquarter as an int (YYYYMMDD),
53,last_doyq_dt,datetime64[ns],last day of yearquarter date,last day of the yearquarter as a date,
54,last_doyq_int,int32,last day of yearquarter int,last day of the yearquarter as an int (YYYYMMDD),
55,first_doyh_dt,datetime64[ns],first day of year half (of year) date,first day of the yearhalf as a date,
56,first_doyh_int,int32,first day of year half (of year) int,first day of the yearhalf as an int (YYYYMMDD),
57,last_doyh_dt,datetime64[ns],last day of year half (of year) date,last day of the yearhalf as a date,
58,last_doyh_int,int32,last day of year half (of year) int,last day of the yearhalf as an int (YYYYMMDD),
59,first_doy_dt,datetime64[ns],first day of year date,first day of the year as a date,
60,first_doy_int,int32,first day of year int,first day of the year as an int (YYYYMMDD),
61,last_doy_dt,datetime64[ns],last day of year date,last day of the year as a date,
62,last_doy_int,int32,last day of year int,last day of the year as an int (YYYYMMDD),
63,created_on,datetime64[us],created on,date and time stamp when this calendar table was created by the scripts,
